,name,date,OZONE,Pre-Shelter in place mean,Post-Shelter in place mean
0,Redwood City,2020-02-15,0.016608695652173912,0.026242419703663568,
1,Gilroy-9th Street,2020-02-15,0.02055652173913044,0.026242419703663568,
2,San Francisco-Arkansas Street,2020-02-15,0.027891304347826086,0.026242419703663568,
3,Vallejo-304 Tuolumne Street,2020-02-15,0.02093478260869565,0.026242419703663568,
4,San Rafael,2020-02-15,0.02347391304347826,0.026242419703663568,
5,Concord-2956-A Treat Blvd,2020-02-15,0.021360869565217388,0.026242419703663568,
6,Oakland-9925 International Blvd,2020-02-15,0.014030434782608694,0.026242419703663568,
7,Livermore-793 Rincon Avenue,2020-02-15,0.021013043478260874,0.026242419703663568,
8,San Jose-Jackson Street,2020-02-15,0.018250000000000002,0.026242419703663568,
9,San Pablo-Rumrill Blvd,2020-02-15,0.01813478260869566,0.026242419703663568,
10,Oakland-West,2020-02-15,0.021078260869565216,0.026242419703663568,
11,Sebastopol-103 Morris Street            ,2020-02-15,0.01148695652173913,0.026242419703663568,
12,Berkeley-Aquatic Park                   ,2020-02-15,0.014860869565217396,0.026242419703663568,
13,Napa-Valley College,2020-02-15,0.019730434782608695,0.026242419703663568,
14,Redwood City,2020-02-16,0.026591304347826084,0.026242419703663568,
15,Gilroy-9th Street,2020-02-16,0.02384782608695652,0.026242419703663568,
16,San Francisco-Arkansas Street,2020-02-16,0.03230434782608695,0.026242419703663568,
17,Vallejo-304 Tuolumne Street,2020-02-16,0.03353478260869565,0.026242419703663568,
18,San Rafael,2020-02-16,0.033521739130434776,0.026242419703663568,
19,Concord-2956-A Treat Blvd,2020-02-16,0.027960869565217386,0.026242419703663568,
20,Oakland-9925 International Blvd,2020-02-16,0.02292608695652174,0.026242419703663568,
22,San Jose-Jackson Street,2020-02-16,0.02419545454545455,0.026242419703663568,
23,San Pablo-Rumrill Blvd,2020-02-16,0.02756956521739131,0.026242419703663568,
24,Oakland-West,2020-02-16,0.030469565217391303,0.026242419703663568,
25,Sebastopol-103 Morris Street            ,2020-02-16,0.019534782608695653,0.026242419703663568,
26,Berkeley-Aquatic Park                   ,2020-02-16,0.022495652173913038,0.026242419703663568,
27,Napa-Valley College,2020-02-16,0.023243478260869564,0.026242419703663568,
28,Redwood City,2020-02-17,0.017952173913043483,0.026242419703663568,
29,Gilroy-9th Street,2020-02-17,0.025613043478260867,0.026242419703663568,
30,San Francisco-Arkansas Street,2020-02-17,0.018226086956521736,0.026242419703663568,
31,Vallejo-304 Tuolumne Street,2020-02-17,0.019021739130434777,0.026242419703663568,
32,San Rafael,2020-02-17,0.01746086956521739,0.026242419703663568,
33,Concord-2956-A Treat Blvd,2020-02-17,0.023743478260869567,0.026242419703663568,
34,Oakland-9925 International Blvd,2020-02-17,0.012308695652173912,0.026242419703663568,
36,San Jose-Jackson Street,2020-02-17,0.023809090909090905,0.026242419703663568,
37,San Pablo-Rumrill Blvd,2020-02-17,0.020460869565217393,0.026242419703663568,
38,Oakland-West,2020-02-17,0.015886956521739132,0.026242419703663568,
39,Sebastopol-103 Morris Street            ,2020-02-17,0.017869565217391307,0.026242419703663568,
40,Berkeley-Aquatic Park                   ,2020-02-17,0.008100000000000001,0.026242419703663568,
41,Napa-Valley College,2020-02-17,0.022791304347826086,0.026242419703663568,
42,Redwood City,2020-02-18,0.021363636363636366,0.026242419703663568,
43,Gilroy-9th Street,2020-02-18,0.024165217391304346,0.026242419703663568,
44,San Francisco-Arkansas Street,2020-02-18,0.024578260869565213,0.026242419703663568,
45,Vallejo-304 Tuolumne Street,2020-02-18,0.028265217391304342,0.026242419703663568,
46,San Rafael,2020-02-18,0.021769565217391307,0.026242419703663568,
47,Concord-2956-A Treat Blvd,2020-02-18,0.02951304347826087,0.026242419703663568,
48,Oakland-9925 International Blvd,2020-02-18,0.021508695652173913,0.026242419703663568,
49,Livermore-793 Rincon Avenue,2020-02-18,0.030320000000000003,0.026242419703663568,
50,San Jose-Jackson Street,2020-02-18,0.02007727272727273,0.026242419703663568,
51,San Pablo-Rumrill Blvd,2020-02-18,0.02413478260869565,0.026242419703663568,
52,Oakland-West,2020-02-18,0.01940434782608696,0.026242419703663568,
53,Sebastopol-103 Morris Street            ,2020-02-18,0.018073913043478263,0.026242419703663568,
54,Berkeley-Aquatic Park                   ,2020-02-18,0.013956521739130435,0.026242419703663568,
55,Napa-Valley College,2020-02-18,0.021172222222222217,0.026242419703663568,
56,Redwood City,2020-02-19,0.015056521739130432,0.026242419703663568,
57,Gilroy-9th Street,2020-02-19,0.024473913043478256,0.026242419703663568,
58,San Francisco-Arkansas Street,2020-02-19,0.024478260869565217,0.026242419703663568,
59,Vallejo-304 Tuolumne Street,2020-02-19,0.01698695652173913,0.026242419703663568,
60,San Rafael,2020-02-19,0.02161304347826087,0.026242419703663568,
61,Concord-2956-A Treat Blvd,2020-02-19,0.021986956521739133,0.026242419703663568,
62,Oakland-9925 International Blvd,2020-02-19,0.01123478260869565,0.026242419703663568,
63,Livermore-793 Rincon Avenue,2020-02-19,0.018882608695652173,0.026242419703663568,
64,San Jose-Jackson Street,2020-02-19,0.01634090909090909,0.026242419703663568,
65,San Pablo-Rumrill Blvd,2020-02-19,0.018529999999999998,0.026242419703663568,
66,Oakland-West,2020-02-19,0.017995652173913045,0.026242419703663568,
67,Sebastopol-103 Morris Street            ,2020-02-19,0.019973913043478266,0.026242419703663568,
68,Berkeley-Aquatic Park                   ,2020-02-19,0.014928571428571426,0.026242419703663568,
69,Napa-Valley College,2020-02-19,0.019325000000000002,0.026242419703663568,
70,Redwood City,2020-02-20,0.01693913043478261,0.026242419703663568,
71,Gilroy-9th Street,2020-02-20,0.02402608695652174,0.026242419703663568,
72,San Francisco-Arkansas Street,2020-02-20,0.021560869565217394,0.026242419703663568,
73,Vallejo-304 Tuolumne Street,2020-02-20,0.020182608695652172,0.026242419703663568,
74,San Rafael,2020-02-20,0.022421739130434784,0.026242419703663568,
75,Concord-2956-A Treat Blvd,2020-02-20,0.022468181818181818,0.026242419703663568,
76,Oakland-9925 International Blvd,2020-02-20,0.020843478260869564,0.026242419703663568,
77,Livermore-793 Rincon Avenue,2020-02-20,0.025595652173913044,0.026242419703663568,
78,San Jose-Jackson Street,2020-02-20,0.017081818181818184,0.026242419703663568,
79,San Pablo-Rumrill Blvd,2020-02-20,0.02670869565217391,0.026242419703663568,
80,Oakland-West,2020-02-20,0.0209,0.026242419703663568,
81,Sebastopol-103 Morris Street            ,2020-02-20,0.019369565217391305,0.026242419703663568,
82,Berkeley-Aquatic Park                   ,2020-02-20,0.015957142857142857,0.026242419703663568,
83,Napa-Valley College,2020-02-20,0.025499999999999995,0.026242419703663568,
84,Redwood City,2020-02-21,0.02009090909090909,0.026242419703663568,
85,Gilroy-9th Street,2020-02-21,0.023943478260869563,0.026242419703663568,
86,San Francisco-Arkansas Street,2020-02-21,0.026636363636363635,0.026242419703663568,
87,Vallejo-304 Tuolumne Street,2020-02-21,0.017113636363636362,0.026242419703663568,
88,San Rafael,2020-02-21,0.023750000000000004,0.026242419703663568,
89,Concord-2956-A Treat Blvd,2020-02-21,0.022043478260869564,0.026242419703663568,
90,Oakland-9925 International Blvd,2020-02-21,0.02189130434782609,0.026242419703663568,
91,Livermore-793 Rincon Avenue,2020-02-21,0.023178260869565218,0.026242419703663568,
92,San Jose-Jackson Street,2020-02-21,0.011572727272727273,0.026242419703663568,
93,San Pablo-Rumrill Blvd,2020-02-21,0.025191304347826092,0.026242419703663568,
94,Oakland-West,2020-02-21,0.02042727272727273,0.026242419703663568,
95,Sebastopol-103 Morris Street            ,2020-02-21,0.015862499999999998,0.026242419703663568,
96,Berkeley-Aquatic Park                   ,2020-02-21,0.01884761904761905,0.026242419703663568,
97,Napa-Valley College,2020-02-21,0.026247826086956517,0.026242419703663568,
98,Redwood City,2020-02-22,0.02339130434782609,0.026242419703663568,
99,Gilroy-9th Street,2020-02-22,0.02909130434782609,0.026242419703663568,
100,San Francisco-Arkansas Street,2020-02-22,0.031334782608695655,0.026242419703663568,
101,Vallejo-304 Tuolumne Street,2020-02-22,0.022517391304347826,0.026242419703663568,
102,San Rafael,2020-02-22,0.02158695652173913,0.026242419703663568,
103,Concord-2956-A Treat Blvd,2020-02-22,0.026165217391304344,0.026242419703663568,
104,Oakland-9925 International Blvd,2020-02-22,0.023595652173913042,0.026242419703663568,
105,Livermore-793 Rincon Avenue,2020-02-22,0.026243478260869563,0.026242419703663568,
106,San Jose-Jackson Street,2020-02-22,0.02605909090909091,0.026242419703663568,
107,San Pablo-Rumrill Blvd,2020-02-22,0.02536086956521739,0.026242419703663568,
108,Oakland-West,2020-02-22,0.032052173913043484,0.026242419703663568,
109,Sebastopol-103 Morris Street            ,2020-02-22,0.017465217391304348,0.026242419703663568,
110,Berkeley-Aquatic Park                   ,2020-02-22,0.02310869565217391,0.026242419703663568,
111,Napa-Valley College,2020-02-22,0.02448260869565218,0.026242419703663568,
112,Redwood City,2020-02-23,0.030254545454545458,0.026242419703663568,
113,Gilroy-9th Street,2020-02-23,0.028543478260869563,0.026242419703663568,
114,San Francisco-Arkansas Street,2020-02-23,0.03302173913043478,0.026242419703663568,
115,Vallejo-304 Tuolumne Street,2020-02-23,0.03167826086956521,0.026242419703663568,
116,San Rafael,2020-02-23,0.03221739130434784,0.026242419703663568,
117,Concord-2956-A Treat Blvd,2020-02-23,0.03206086956521739,0.026242419703663568,
118,Oakland-9925 International Blvd,2020-02-23,0.029839130434782604,0.026242419703663568,
119,Livermore-793 Rincon Avenue,2020-02-23,0.031508695652173915,0.026242419703663568,
120,San Jose-Jackson Street,2020-02-23,0.026322727272727272,0.026242419703663568,
121,San Pablo-Rumrill Blvd,2020-02-23,0.030017391304347826,0.026242419703663568,
122,Oakland-West,2020-02-23,0.03498695652173913,0.026242419703663568,
123,Sebastopol-103 Morris Street            ,2020-02-23,0.016978260869565217,0.026242419703663568,
124,Berkeley-Aquatic Park                   ,2020-02-23,0.025673913043478262,0.026242419703663568,
125,Napa-Valley College,2020-02-23,0.025313043478260862,0.026242419703663568,
126,Redwood City,2020-02-24,0.015969565217391304,0.026242419703663568,
127,Gilroy-9th Street,2020-02-24,0.021382608695652176,0.026242419703663568,
128,San Francisco-Arkansas Street,2020-02-24,0.01858695652173913,0.026242419703663568,
129,Vallejo-304 Tuolumne Street,2020-02-24,0.017782608695652177,0.026242419703663568,
130,San Rafael,2020-02-24,0.01798695652173913,0.026242419703663568,
131,Concord-2956-A Treat Blvd,2020-02-24,0.019309523809523815,0.026242419703663568,
132,Oakland-9925 International Blvd,2020-02-24,0.012595652173913044,0.026242419703663568,
133,Livermore-793 Rincon Avenue,2020-02-24,0.017365217391304345,0.026242419703663568,
134,San Jose-Jackson Street,2020-02-24,0.017931818181818184,0.026242419703663568,
135,San Pablo-Rumrill Blvd,2020-02-24,0.01907391304347826,0.026242419703663568,
136,Oakland-West,2020-02-24,0.02254090909090909,0.026242419703663568,
137,Sebastopol-103 Morris Street            ,2020-02-24,0.01919523809523809,0.026242419703663568,
138,Berkeley-Aquatic Park                   ,2020-02-24,0.01372173913043478,0.026242419703663568,
