,name,date,NOX,Pre-Shelter in place mean,Post-Shelter in place mean
0,Redwood City,2020-02-01,0.023430434782608693,0.01818764397517645,
1,San Francisco-Arkansas Street,2020-02-01,0.01812173913043478,0.01818764397517645,
2,Vallejo-304 Tuolumne Street,2020-02-01,0.027447826086956527,0.01818764397517645,
3,San Rafael,2020-02-01,0.018373913043478265,0.01818764397517645,
4,Concord-2956-A Treat Blvd,2020-02-01,0.014030434782608693,0.01818764397517645,
5,Oakland-9925 International Blvd,2020-02-01,0.027743478260869574,0.01818764397517645,
6,Livermore-793 Rincon Avenue,2020-02-01,0.026869565217391304,0.01818764397517645,
7,San Jose-Jackson Street,2020-02-01,0.03429090909090909,0.01818764397517645,
8,San Pablo-Rumrill Blvd,2020-02-01,0.014056521739130431,0.01818764397517645,
9,Oakland-West,2020-02-01,0.03577391304347827,0.01818764397517645,
10,Oakland-Laney College                   ,2020-02-01,0.044869565217391306,0.01818764397517645,
11,Sebastopol-103 Morris Street            ,2020-02-01,0.008139130434782609,0.01818764397517645,
12,San Jose-Knox Avenue                    ,2020-02-01,0.04150434782608695,0.01818764397517645,
13,Berkeley-Aquatic Park                   ,2020-02-01,0.045595652173913044,0.01818764397517645,
14,Napa-Valley College,2020-02-01,0.01116521739130435,0.01818764397517645,
15,Pleasanton-Owens Ct                     ,2020-02-01,0.02663913043478261,0.01818764397517645,
16,Redwood City,2020-02-02,0.005239130434782609,0.01818764397517645,
17,San Francisco-Arkansas Street,2020-02-02,0.005326086956521739,0.01818764397517645,
18,Vallejo-304 Tuolumne Street,2020-02-02,0.002752173913043478,0.01818764397517645,
19,San Rafael,2020-02-02,0.0031260869565217387,0.01818764397517645,
20,Concord-2956-A Treat Blvd,2020-02-02,0.004365217391304348,0.01818764397517645,
21,Oakland-9925 International Blvd,2020-02-02,0.007339130434782609,0.01818764397517645,
22,Livermore-793 Rincon Avenue,2020-02-02,0.005347826086956523,0.01818764397517645,
23,San Jose-Jackson Street,2020-02-02,0.004940909090909092,0.01818764397517645,
24,San Pablo-Rumrill Blvd,2020-02-02,0.0045000000000000005,0.01818764397517645,
25,Oakland-West,2020-02-02,0.006408695652173915,0.01818764397517645,
